date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:26	31471/31471	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2005:56:54%20GMT	https://templates.hibootstrap.com/pento/default/index-3.html	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/index-3.html	(from )
10:20:27	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jan%202021%2004:46:24%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
10:20:27	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8a9-27293%22	https://templates.hibootstrap.com/pento/default/assets/css/bootstrap.min.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:27	61773/61773	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8aa-f14d%22	https://templates.hibootstrap.com/pento/default/assets/css/boxicons.min.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/boxicons.min.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:27	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8aa-1b27%22	https://templates.hibootstrap.com/pento/default/assets/css/magnific-popup.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/magnific-popup.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:28	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8aa-d17%22	https://templates.hibootstrap.com/pento/default/assets/css/owl.carousel.min.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:28	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8aa-3f5%22	https://templates.hibootstrap.com/pento/default/assets/css/owl.theme.default.min.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:28	3076/3076	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8aa-fa7%22	https://templates.hibootstrap.com/pento/default/assets/css/nice-select.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/nice-select.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:28	134944/134944	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8ac-28577%22	https://templates.hibootstrap.com/pento/default/assets/css/style.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/style.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:29	54508/54508	---MCZ	200	added ('OK')	text/css	etag:W/%225f28f8aa-127de%22	https://templates.hibootstrap.com/pento/default/assets/css/responsive.css	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/pento/default/index-3.html)
